"(X,Y)",Moon Points
"(133, -122)",5
"(269, -217)",5
"(40, -277)",5
"(-161, 4)",5
"(-110, 303)",5
"(27, -232)",5
"(-139, 101)",5
"(151, -119)",5
"(-260, 305)",5
"(254, -66)",5
"(269, -216)",5
"(-7, 138)",5
"(165, 5)",5
"(-255, 295)",5
"(280, -75)",5
"(-236, 294)",5
"(-149, -1)",5
"(179, -156)",5
"(-140, 103)",5
"(-140, 101)",5
"(-210, -57)",5
"(-185, 165)",5
"(-89, 319)",5
"(-225, 13)",5
"(-211, -56)",5
"(-182, 288)",5
"(-40, -215)",5
"(-326, 13)",5
"(188, -292)",5
"(-90, 303)",5
"(209, -116)",5
"(271, -218)",5
"(151, -81)",5
"(-201, 164)",5
"(-79, -99)",5
"(24, 114)",5
"(18, 120)",5
"(252, 10)",5
"(-260, 303)",5
"(-80, 165)",5
"(-135, 105)",5
"(-215, -45)",5
"(184, -287)",5
"(45, -265)",5
"(162, -2)",5
"(-138, 150)",5
"(-184, -28)",5
"(9, 261)",5
"(276, -71)",5
"(-41, -216)",5
"(-261, 64)",5
"(144, -89)",5
"(277, 40)",5
"(333, -292)",5
"(73, 238)",5
"(-150, 84)",5
"(31, 120)",5
"(-293, 160)",5
"(35, -265)",5
"(-67, 150)",5
"(-261, 63)",5
"(-49, -101)",5
"(205, 35)",5
"(21, 119)",5
"(-2, 198)",5
"(-200, 165)",5
"(-205, -47)",5
"(-285, 53)",5
"(-186, 154)",5
"(279, -76)",5
"(159, -80)",5
"(31, 99)",5
"(78, -161)",5
"(-222, 82)",5
"(-179, 159)",5
"(-64, 211)",5
"(211, -118)",5
"(25, 113)",5
"(-296, 54)",5
"(-240, 295)",5
"(117, 80)",5
"(215, -72)",5
"(-206, -46)",5
"(-79, 299)",5
"(25, 105)",5
"(55, -265)",5
"(271, 39)",4
"(-230, 84)",4
"(185, -147)",4
"(92, -152)",4
"(88, 236)",4
"(148, 88)",4
"(213, -92)",4
"(298, -164)",4
"(215, -275)",4
"(-186, 292)",4
"(93, -152)",4
"(-222, -82)",4
"(-325, 144)",4
"(-149, -101)",4
"(-48, 268)",4
"(194, -250)",4
"(311, -90)",4
"(-232, 178)",4
"(-138, -112)",4
"(-143, -102)",4
"(64, -153)",4
"(132, -152)",4
"(-223, -82)",4
"(232, 88)",4
"(254, -68)",4
"(-325, 145)",4
"(-78, -170)",4
"(94, -169)",4
"(-165, -175)",4
"(234, -46)",4
"(-8, -290)",4
"(-167, 46)",4
"(-263, 338)",4
"(5, 304)",4
"(-115, 105)",4
"(-236, 47)",4
"(204, -174)",4
"(223, -34)",4
"(-302, 178)",4
"(-224, -40)",4
"(-342, 238)",4
"(-262, 338)",4
"(-108, 308)",4
"(127, -280)",4
"(-288, 248)",4
"(-133, 264)",4
"(-338, 288)",4
"(292, -306)",4
"(307, -142)",4
"(-333, 60)",4
"(307, -140)",4
"(-185, -29)",4
"(-278, 288)",4
"(-68, -252)",4
"(-129, -107)",4
"(-218, 8)",4
"(337, -322)",4
"(-333, 258)",4
"(-148, 188)",4
"(163, -184)",4
"(198, 38)",4
"(154, -106)",4
"(196, 40)",4
"(-203, 240)",4
"(-139, -94)",4
"(149, 89)",4
"(223, -314)",4
"(-306, 46)",4
"(227, -282)",4
"(148, -24)",4
"(36, 103)",4
"(195, -255)",4
"(-263, -42)",4
"(-232, -4)",4
"(-140, -93)",4
"(52, 192)",4
"(-83, 298)",4
"(104, -284)",4
"(-268, 230)",4
"(54, 190)",4
"(328, -262)",4
"(184, 54)",4
"(21, 276)",4
"(84, 174)",4
"(-85, -95)",4
"(-228, -112)",4
"(-247, 246)",4
"(18, 279)",4
"(171, -241)",4
"(154, -64)",4
"(307, -120)",4
"(-247, 89)",4
"(-186, -28)",4
"(24, 294)",4
"(-205, -15)",4
"(-293, 300)",4
"(55, 84)",4
"(247, 40)",4
"(-240, -65)",4
"(-138, -101)",4
"(89, 236)",4
"(-158, 190)",4
"(-230, 199)",4
"(-203, 258)",4
"(238, -284)",4
"(-60, 159)",4
"(-288, 268)",4
"(-202, 258)",4
"(3, 306)",4
"(262, 48)",4
"(-311, 197)",4
"(181, -241)",4
"(-116, -112)",4
"(183, -34)",4
"(102, -272)",4
"(82, -152)",4
"(-175, -115)",4
"(-40, 159)",4
"(-247, 226)",4
"(148, -1)",4
"(-23, -202)",4
"(242, -170)",4
"(213, -124)",4
"(130, 39)",4
"(60, 79)",4
"(167, 80)",4
"(239, -284)",4
"(-118, -212)",4
"(25, 185)",4
"(107, 218)",4
"(-243, -42)",4
"(-48, -272)",4
"(-313, 240)",4
"(-243, -62)",4
"(83, 196)",4
"(-313, 238)",4
"(-21, 197)",4
"(-195, -95)",4
"(-188, 348)",4
"(-153, 260)",4
"(62, -310)",4
"(-76, 226)",4
"(-23, 300)",4
"(-128, 108)",4
"(-12, -181)",4
"(-288, 88)",4
"(-173, 118)",4
"(-128, 110)",4
"(-343, 98)",4
"(-182, 216)",4
"(-313, -20)",4
"(37, -320)",4
"(-74, -140)",4
"(-138, 148)",4
"(-133, -162)",4
"(83, -144)",4
"(-176, 150)",4
"(-183, -102)",4
"(-7, -152)",4
"(-35, 269)",4
"(107, -142)",4
"(-128, 128)",4
"(-127, 128)",4
"(-138, 348)",4
"(270, -286)",4
"(-82, 256)",4
"(106, 240)",4
"(307, -222)",4
"(-313, 80)",4
"(-73, -100)",4
"(-8, -310)",4
"(-173, -82)",4
"(-92, -44)",4
"(-201, 36)",4
"(42, 148)",4
"(89, -159)",4
"(-71, -200)",4
"(-288, 90)",4
"(46, -271)",4
"(240, -286)",4
"(-342, 98)",4
"(-81, 256)",4
"(-220, 215)",4
"(-246, 246)",4
"(-215, 325)",4
"(-342, 96)",4
"(55, 85)",4
"(-29, -221)",4
"(287, -196)",4
"(-117, 226)",4
"(267, -102)",4
"(-304, 64)",4
"(267, -120)",4
"(-198, -132)",4
"(-173, -122)",4
"(66, 280)",4
"(-148, 308)",4
"(-173, 11)",4
"(-51, -176)",4
"(46, 300)",4
"(-173, 10)",4
"(48, 298)",4
"(-67, -92)",4
"(227, -280)",4
"(282, -52)",4
"(257, -56)",4
"(7, 263)",4
"(-253, 280)",4
"(307, -240)",4
"(52, -250)",4
"(-77, -102)",4
"(107, 78)",4
"(-98, 210)",4
"(31, -261)",4
"(307, -242)",4
"(-173, 18)",4
"(-78, 128)",4
"(-68, 128)",4
"(320, -65)",4
"(267, -122)",4
"(320, -37)",4
"(-304, 69)",4
"(150, 35)",4
"(247, -280)",4
"(308, -274)",4
"(234, -194)",4
"(13, 246)",4
"(-97, -114)",4
"(-218, 28)",4
"(-163, -122)",4
"(-178, 268)",4
"(103, -284)",4
"(-263, 280)",4
"(-141, 297)",4
"(-93, 258)",4
"(-88, 148)",4
"(-206, 170)",4
"(-87, 148)",4
"(-177, 268)",4
"(-302, 246)",4
"(-194, -51)",4
"(-265, 284)",4
"(287, -40)",4
"(177, -336)",4
"(320, -226)",4
"(-168, 268)",4
"(28, 100)",4
"(320, -225)",4
"(247, -2)",4
"(168, 178)",4
"(-78, 188)",4
"(153, -90)",4
"(-77, 188)",4
"(166, 180)",4
"(-48, -270)",4
"(-310, 199)",4
"(199, -123)",4
"(0, 214)",4
"(-143, 200)",4
"(16, -193)",4
"(153, -64)",4
"(-87, -94)",4
"(-58, -190)",4
"(178, -224)",4
"(126, 219)",4
"(-273, -60)",4
"(102, -110)",4
"(179, -224)",4
"(178, -102)",4
"(-93, -40)",4
"(298, -162)",4
"(287, -42)",4
"(153, -132)",4
"(67, -300)",4
"(-218, 79)",4
"(-289, 50)",4
"(257, -182)",4
"(-264, -31)",4
"(-220, 15)",4
"(-57, -91)",4
"(207, 60)",4
"(-313, 198)",4
"(145, 99)",4
"(67, -122)",4
"(-137, 216)",4
"(199, -116)",4
"(323, -252)",4
"(-288, 210)",4
"(-88, 188)",4
"(68, -122)",4
"(307, -160)",4
"(-77, 226)",4
"(291, -307)",4
"(-52, -162)",4
"(-306, 74)",4
"(135, -315)",4
"(-85, -255)",4
"(-245, 25)",4
"(-127, -90)",4
"(-342, 136)",4
"(139, 86)",4
"(-123, 200)",4
"(-229, 290)",4
"(270, 54)",4
"(199, -156)",4
"(-333, 98)",4
"(222, -52)",4
"(320, -156)",4
"(305, 5)",4
"(-198, -90)",4
"(-200, -55)",4
"(-343, 178)",4
"(-213, -82)",4
"(143, -224)",4
"(141, 84)",4
"(85, 174)",4
"(242, -212)",4
"(-267, -34)",4
"(67, -262)",4
"(-188, 210)",4
"(75, 129)",4
"(-28, 188)",4
"(-183, 220)",4
"(204, -146)",4
"(166, -90)",4
"(-45, -75)",4
"(-78, 190)",4
"(-342, 178)",4
"(-229, -101)",4
"(-247, 126)",4
"(88, 116)",4
"(300, -77)",4
"(-185, 291)",4
"(-17, 128)",4
"(-183, -122)",4
"(177, -242)",4
"(308, -244)",4
"(257, -2)",4
"(-133, -160)",4
"(-112, -41)",4
"(176, 49)",4
"(108, -144)",4
"(-273, 300)",4
"(182, 8)",4
"(-14, -211)",4
"(147, 93)",4
"(292, 48)",4
"(220, -73)",4
"(-233, 340)",4
"(215, 45)",4
"(210, 79)",4
"(-317, 86)",4
"(-243, 78)",4
"(-317, 246)",4
"(-153, 300)",4
"(6, -311)",4
"(220, -66)",4
"(-253, 0)",4
"(-176, -106)",4
"(312, 28)",4
"(-328, 290)",4
"(277, -300)",4
"(172, -101)",4
"(220, -65)",4
"(2, -232)",4
"(-215, 269)",4
"(-318, 190)",4
"(-163, 184)",4
"(-308, 8)",4
"(152, -230)",4
"(-271, 256)",4
"(167, -191)",4
"(-318, 170)",4
"(-318, 328)",4
"(-283, 320)",4
"(-133, -2)",4
"(177, 18)",4
"(172, -70)",4
"(-33, -240)",4
"(181, -6)",4
"(-113, 98)",4
"(52, -212)",4
"(-113, 100)",4
"(132, -230)",4
"(-322, -14)",4
"(92, 108)",4
"(192, -330)",4
"(-328, 128)",4
"(-58, 250)",4
"(202, -190)",4
"(-100, 315)",4
"(343, -214)",4
"(330, 15)",4
"(-58, -172)",4
"(-95, 315)",4
"(132, 70)",4
"(-318, 230)",4
"(-172, 18)",4
"(-318, 228)",4
"(184, -146)",4
"(-253, 20)",4
"(151, -121)",4
"(-248, 8)",4
"(-61, -216)",4
"(215, -215)",4
"(-328, 234)",4
"(-138, 250)",4
"(-93, -42)",4
"(-295, 205)",4
"(340, -45)",4
"(135, 98)",4
"(-295, 185)",4
"(172, -212)",4
"(-242, 336)",4
"(-56, 151)",4
"(173, -212)",4
"(-32, -102)",4
"(-120, 247)",4
"(112, -210)",4
"(-222, 116)",4
"(-77, -72)",4
"(-45, -89)",4
"(177, -162)",4
"(-308, 68)",4
"(-267, 48)",4
"(190, -245)",4
"(273, -324)",4
"(252, 8)",4
"(162, -230)",4
"(-33, -102)",4
"(-267, 86)",4
"(224, -74)",4
"(84, -166)",4
"(82, 210)",4
"(293, -324)",4
"(294, -324)",4
"(92, -210)",4
"(-207, -51)",4
"(45, 192)",4
"(-173, -102)",4
"(-198, 190)",4
"(278, -222)",4
"(-198, 188)",4
"(28, 99)",4
"(177, -42)",4
"(-53, -202)",4
"(-238, -10)",4
"(-298, 328)",4
"(-297, 328)",4
"(188, -324)",4
"(-267, 8)",4
"(286, -191)",4
"(-193, 320)",4
"(184, -197)",4
"(193, -324)",4
"(-158, 250)",4
"(-306, -14)",4
"(157, 38)",4
"(-290, 63)",4
"(-267, -54)",4
"(-93, 218)",4
"(177, -102)",4
"(-212, -41)",4
"(-16, 127)",4
"(-308, 30)",4
"(-308, 48)",4
"(-284, 69)",4
"(140, -225)",4
"(-290, 55)",4
"(-248, 328)",4
"(-188, -92)",4
"(147, -322)",4
"(-166, 154)",4
"(-13, 340)",4
"(272, -310)",4
"(-182, 218)",4
"(-183, 218)",4
"(137, 63)",4
"(52, 198)",4
"(-263, 260)",4
"(-229, 76)",4
"(-293, 278)",4
"(-13, -100)",4
"(211, -41)",4
"(150, 34)",4
"(-283, 58)",4
"(-229, 82)",4
"(-138, -170)",4
"(108, 76)",4
"(87, 218)",4
"(135, 65)",4
"(22, -230)",4
"(60, -277)",4
"(297, -162)",4
"(313, -92)",4
"(-242, -42)",4
"(-248, 148)",4
"(313, -91)",4
"(77, -322)",4
"(62, -212)",4
"(121, -161)",4
"(-135, -15)",4
"(45, -267)",4
"(102, -212)",4
"(-110, 305)",4
"(-248, 128)",4
"(-248, 108)",4
"(7, 298)",4
"(114, -114)",4
"(55, 285)",4
"(4, 194)",4
"(28, 156)",4
"(181, 30)",4
"(-124, 243)",4
"(-123, 243)",4
"(-13, 198)",4
"(-32, -184)",4
"(132, -232)",4
"(172, 88)",4
"(302, -290)",4
"(55, -267)",4
"(-248, 94)",4
"(-248, 93)",4
"(-261, 200)",4
"(52, 110)",4
"(-23, 198)",4
"(20, -306)",4
"(15, 325)",4
"(61, -267)",4
"(-275, 125)",4
"(-275, 124)",4
"(-263, 78)",4
"(62, 188)",4
"(86, -311)",4
"(-121, 253)",4
"(225, -115)",4
"(297, -42)",4
"(286, -77)",4
"(174, 50)",4
"(-320, 275)",4
"(-8, 228)",4
"(-315, 245)",4
"(6, -191)",4
"(-243, 200)",4
"(5, -191)",4
"(186, 29)",4
"(-307, -14)",4
"(334, -293)",4
"(192, 48)",4
"(211, 39)",4
"(12, -150)",4
"(-328, 28)",4
"(240, -85)",4
"(-243, 178)",4
"(-125, -112)",4
"(262, -310)",4
"(231, -301)",4
"(-271, -4)",4
"(-172, 86)",4
"(137, -322)",4
"(-105, -136)",4
"(-253, 58)",4
"(233, -112)",4
"(-328, 70)",4
"(-18, 250)",4
"(298, 36)",4
"(-243, 220)",4
"(127, -82)",4
"(-106, 310)",4
"(-122, -194)",4
"(292, -12)",4
"(-115, -35)",4
"(-222, -41)",4
"(-73, 340)",4
"(87, 118)",4
"(273, -134)",4
"(-258, -70)",4
"(-189, 159)",4
"(-109, 310)",4
"(29, 260)",4
"(61, -230)",4
"(297, -122)",4
"(191, -204)",4
"(-78, -72)",4
"(148, -204)",4
"(195, -145)",4
"(233, -194)",4
"(17, -322)",4
"(233, -192)",4
"(-51, -216)",4
"(297, -120)",4
"(5, 305)",4
"(185, 65)",4
"(192, 148)",4
"(102, 48)",4
"(47, 224)",4
"(195, -147)",4
"(-38, -112)",4
"(-36, 334)",4
"(224, -75)",4
"(-288, -32)",4
"(16, -194)",4
"(-340, 55)",4
"(30, 202)",4
"(-128, -32)",4
"(271, -21)",4
"(-228, -90)",4
"(-233, 160)",4
"(-113, -80)",4
"(-181, 160)",4
"(12, 290)",4
"(18, -194)",4
"(2, 290)",4
"(-160, 3)",4
"(-160, 5)",4
"(87, -342)",4
"(62, 90)",4
"(-117, -54)",4
"(-338, 88)",4
"(-49, -281)",4
"(207, 18)",4
"(-268, 290)",4
"(340, -265)",4
"(140, -45)",4
"(-91, 324)",4
"(78, -304)",4
"(46, 180)",4
"(-50, 195)",4
"(-73, 300)",4
"(328, -4)",4
"(-138, -50)",4
"(173, -304)",4
"(-8, -186)",4
"(18, 206)",4
"(-40, 275)",4
"(-256, 190)",4
"(-105, 313)",4
"(57, 238)",4
"(-258, 110)",4
"(182, -189)",4
"(183, -189)",4
"(-68, -92)",4
"(190, 155)",4
"(-293, 18)",4
"(-338, 48)",4
"(-218, 188)",4
"(167, -91)",4
"(-64, -120)",4
"(-233, 178)",4
"(-62, -122)",4
"(177, 138)",4
"(-305, 65)",4
"(32, 288)",4
"(-288, 290)",4
"(-98, 270)",4
"(184, -288)",4
"(188, -304)",4
"(190, -157)",4
"(169, 104)",4
"(29, -123)",4
"(33, 269)",4
"(83, 69)",4
"(-40, -205)",4
"(-88, 348)",4
"(-286, 74)",4
"(112, -92)",4
"(-241, 80)",4
"(57, 240)",4
"(160, 119)",4
"(-48, 293)",4
"(-130, -185)",4
"(-93, 120)",4
"(-213, -20)",4
"(128, -82)",4
"(-316, 86)",4
"(277, 38)",4
"(-265, -75)",4
"(228, -164)",4
"(163, -4)",4
"(-32, -204)",4
"(-100, 195)",4
"(260, -306)",4
"(-148, -170)",4
"(159, 4)",4
"(-93, 160)",4
"(-113, 120)",4
"(72, 210)",4
"(151, 96)",4
"(128, -54)",4
"(87, -180)",4
"(228, -182)",4
"(-133, -122)",4
"(167, 178)",4
"(200, -155)",4
"(-49, 293)",4
"(117, -180)",4
"(182, 128)",4
"(-316, 74)",4
"(55, 165)",4
"(-233, 98)",4
"(-3, -222)",4
"(-13, 200)",4
"(-90, 215)",4
"(270, 55)",4
"(149, -24)",4
"(36, -280)",4
"(255, -69)",4
"(237, 78)",4
"(345, -75)",4
"(-183, 164)",4
"(103, 228)",4
"(-108, -212)",4
"(-285, -55)",4
"(-216, 114)",4
"(206, -151)",4
"(-3, 218)",4
"(-258, 228)",4
"(-232, 82)",4
"(-232, 86)",4
"(32, 188)",4
"(-150, -165)",4
"(323, -304)",4
"(-233, 38)",4
"(85, -275)",4
"(-179, 30)",4
"(-294, 49)",4
"(243, 86)",4
"(132, 94)",4
"(-113, 318)",4
"(185, -212)",4
"(-123, -107)",4
"(31, 202)",4
"(-203, -2)",4
"(42, -172)",4
"(212, 8)",4
"(270, -285)",4
"(39, -256)",4
"(-101, 320)",4
"(72, 188)",4
"(-98, 328)",4
"(-242, -64)",4
"(-127, 76)",4
"(-228, 130)",4
"(-78, 328)",4
"(54, 186)",4
"(192, 28)",4
"(199, 44)",4
"(-143, -62)",4
"(-137, -14)",4
"(-91, 320)",4
"(200, 43)",4
"(3, -112)",4
"(-117, -34)",4
"(2, -112)",4
"(253, -14)",4
"(-143, -89)",4
"(224, -90)",4
"(32, 208)",4
"(42, 191)",4
"(-205, 9)",4
"(-222, 198)",4
"(-111, 300)",4
"(-112, 318)",4
"(-115, 169)",4
"(146, 97)",4
"(-117, -52)",4
"(32, 170)",4
"(155, 88)",4
"(-103, 318)",4
"(-132, -204)",4
"(-4, -131)",4
"(-4, 123)",4
"(-3, 123)",4
"(297, -342)",4
"(70, 243)",4
"(-293, 80)",4
"(-179, 150)",4
"(-222, -84)",4
"(-268, -52)",4
"(182, -230)",4
"(-266, -54)",4
"(-158, 248)",4
"(-105, -175)",4
"(209, 44)",4
"(-193, 138)",4
"(117, 78)",4
"(-132, -2)",4
"(-265, -55)",4
"(-267, 286)",4
"(-118, -112)",4
"(194, 34)",4
"(17, 198)",4
"(40, -245)",4
"(-8, -152)",4
"(-228, 79)",4
"(77, -162)",4
"(-23, 320)",4
"(113, -114)",4
"(-258, 88)",4
"(135, 85)",4
"(-332, 258)",4
"(340, -165)",4
"(-258, 90)",4
"(-168, 233)",4
"(70, -245)",4
"(202, -212)",4
"(192, -72)",4
"(-208, -112)",4
"(294, -70)",4
"(-98, -112)",4
"(84, -194)",4
"(-250, 119)",4
"(152, -132)",4
"(190, -306)",4
"(-78, -110)",4
"(-218, 208)",4
"(298, -304)",4
"(237, -182)",4
"(83, -194)",4
"(162, 153)",4
"(-48, -112)",4
"(152, -70)",4
"(-340, 135)",4
"(118, -254)",4
"(-48, 328)",4
"(-183, -100)",4
